actions,boundary,bytes,cli_first_refresh_ms,client_cpu_ms,columns,columns_returned,cpu_ms,digest,first_fetch_ms,first_fetch_rx_bytes,first_result_refresh_ms,frames,image,image_id,iteration,loop_delays_over_16_7_ms,loop_delays_over_50_ms,max_loop_delay_ms,maxrss_kib,objects,one_core_cpu_percent,one_way_delay_ms,p95_loop_delay_ms,parent_cpu_ms,parent_ready_ms,pattern,process_cpu_ms,provider,pty_bytes,routines,rows,rows_returned,rx_bytes,scenario,source_sha,suggestions,suite,tables,terminal_bytes,trial,truncated,tx_bytes,variant,wall_ms,watchdog_events,worker_reported_ms
,,,338.98,,,,,,,,,,,,,,,,,,,,,,393.0072849998396,,444.392,,75411,,,,,disabled,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,4,,,candidate,,,
,,,353.76,,,,,,,,,,,,,,,,,,,,,,414.3659439996554,,536.54,,75411,,,,,disabled,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,startup,,,5,,,baseline,,,
,,,343.13,,,,,,,,,,,,,,,,,,,,,,404.8655629994755,,456.316,,75411,,,,,disabled,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,5,,,candidate,,,
,,,365.96,,,,,,,,,,,,,,,,,,,,,,422.2783880004499,,560.134,,75411,,,,,disabled,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,startup,,,6,,,baseline,,,
,,,324.55,,,,,,,,,,,,,,,,,,,,,,373.4640889997536,,426.971,,75411,,,,,disabled,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,6,,,candidate,,,
,,,342.82,,,,,,,,,,,,,,,,,,,,,,391.9923280000148,,533.449,,75411,,,,,disabled,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,startup,,,7,,,baseline,,,
,,,332.32,,,,,,,,,,,,,,,,,,,,,,388.95810499980144,,438.138,,75411,,,,,disabled,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,7,,,candidate,,,
,,,344.92,,,,,,,,,,,,,,,,,,,,,,400.4836379999688,,533.4259999999999,,75411,,,,,disabled,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,startup,,,8,,,baseline,,,
,,,327.35,,,,,,,,,,,,,,,,,,,,,,391.1620450007831,,452.47299999999996,,75411,,,,,disabled,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,8,,,candidate,,,
,,,343.18,,,,,,,,,,,,,,,,,,,,,,395.12102200023946,,536.1329999999999,,75411,,,,,disabled,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,startup,,,9,,,baseline,,,
,,,323.97,,,,,,,,,,,,,,,,,,,,,,390.3571880000527,,455.9069999999999,,75411,,,,,disabled,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,9,,,candidate,,,
,,,349.59,,,,,,,,,,,,,,,,,,,,,,412.2120240008371,,570.6949999999999,,75411,,,,,disabled,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,startup,,,10,,,baseline,,,
,,,326.55,,,,,,,,,,,,,,,,,,,,,,376.2278080002943,,437.699,,75411,,,,,disabled,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,10,,,candidate,,,
,,,361.35,,,,,,,,,,,,,,,,,,,,,,430.61923000004754,,563.213,,75411,,,,,disabled,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,startup,,,11,,,baseline,,,
,,,375.86,,,,,,,,,,,,,,,,,,,,,,439.6697209995182,,526.1129999999999,,75411,,,,,disabled,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,11,,,candidate,,,
,,,325.96,,,,,,,,,,,,,,,,,,,,,,372.81932399946527,,495.229,,75411,,,,,disabled,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,startup,,,12,,,baseline,,,
,,,343.05,,,,,,,,,,,,,,,,,,,,,,406.8342959999427,,455.75499999999994,,75411,,,,,disabled,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,12,,,candidate,,,
,,,330.95,,,,,,,,,,,,,,,,,,,,,,391.9395419998182,,524.16,,75411,,,,,disabled,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,startup,,,13,,,baseline,,,
,,,347.12,,,,,,,,,,,,,,,,,,,,,,415.58888100007607,,465.052,,75411,,,,,disabled,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,13,,,candidate,,,
,,,339.2,,,,,,,,,,,,,,,,,,,,,,404.3450990002384,,537.374,,75411,,,,,disabled,9db49c230c7cab6abe497d14b9f51e39ad30cb42,,startup,,,14,,,baseline,,,
,,,342.68,,,,,,,,,,,,,,,,,,,,,,398.2162400006928,,450.777,,75411,,,,,disabled,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,14,,,candidate,,,
,,,1093.99,,,,,,,,,,,,,,,,,,,,,,1385.2823350007384,,1332.809,,75411,,,,,no-pyc,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,0,,,candidate,,,
,,,996.84,,,,,,,,,,,,,,,,,,,,,,1281.663148000007,,1332.268,,75411,,,,,no-pyc,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,1,,,candidate,,,
,,,896.8,,,,,,,,,,,,,,,,,,,,,,1149.404499999946,,1226.299,,75411,,,,,no-pyc,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,2,,,candidate,,,
,,,899.14,,,,,,,,,,,,,,,,,,,,,,1165.9069940005793,,1258.883,,75411,,,,,no-pyc,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,3,,,candidate,,,
,,,918.36,,,,,,,,,,,,,,,,,,,,,,1174.788532999628,,1232.276,,75411,,,,,no-pyc,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,4,,,candidate,,,
,,,942.85,,,,,,,,,,,,,,,,,,,,,,1193.5084649994678,,1243.3750000000002,,75411,,,,,no-pyc,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,5,,,candidate,,,
,,,941.33,,,,,,,,,,,,,,,,,,,,,,1202.5737359999766,,1253.654,,75411,,,,,no-pyc,0640c96464dcb50434f97b14d097418b51b110ba,,startup,,,6,,,candidate,,,
,,,,,,,95.30399,,,,,1,,,,1,1,91.87240700077382,116360,,99.49893369863119,,78.20384570070016,,,,,,,1000,,,,autocomplete_1000_routines,9db49c230c7cab6abe497d14b9f51e39ad30cb42,50,completion,,18297,0,,,baseline,95.7839310003692,0,
,,,,,,,1817.1032670000002,,,,,1,,,,1,1,1822.8752470005202,120328,,99.56708112607332,,1549.5218372504671,,,,,,,5000,,,,autocomplete_5000_routines,9db49c230c7cab6abe497d14b9f51e39ad30cb42,50,completion,,20541,0,,,baseline,1825.0040539996917,0,
,,,,,,,31.893475000000006,,,,,1,,,,1,0,30.007203000532172,116196,,99.15267431360486,,25.68158460032463,,,,,,,1000,,,,autocomplete_1000_routines,0640c96464dcb50434f97b14d097418b51b110ba,50,completion,,18297,0,,,candidate,32.16602600059559,0,
,,,,,,,50.025076999999975,,,,,1,,,,1,0,47.73786799989466,121828,,98.22694211845798,,40.67588074992271,,,,,,,5000,,,,autocomplete_5000_routines,0640c96464dcb50434f97b14d097418b51b110ba,50,completion,,20541,0,,,candidate,50.92806099946756,0,
,,,,,,,97.21465699999993,,,,,2,,,,1,1,102.75871599980746,111304,,90.05905695725693,,87.49242789978776,,,,,,,1000,,,,autocomplete_1000_routines,9db49c230c7cab6abe497d14b9f51e39ad30cb42,50,completion,,23742,1,,,baseline,107.94545299995661,0,
,,,,,,,1828.097953,,,,,1,,,,1,1,1862.5262670003576,114760,,97.87360303285617,,1583.2834588502185,,,,,,,5000,,,,autocomplete_5000_routines,9db49c230c7cab6abe497d14b9f51e39ad30cb42,50,completion,,18297,1,,,baseline,1867.8151169997363,0,
,,,,,,,22.016956000000032,,,,,1,,,,1,0,20.227998999980628,110340,,98.67392060480937,,17.300061399891995,,,,,,,1000,,,,autocomplete_1000_routines,0640c96464dcb50434f97b14d097418b51b110ba,50,completion,,18297,1,,,candidate,22.312842000246746,0,
,,,,,,,53.220814000000004,,,,,2,,,,1,1,51.30804599968542,116100,,99.32988070561333,,44.01361979982538,,,,,,,5000,,,,autocomplete_5000_routines,0640c96464dcb50434f97b14d097418b51b110ba,50,completion,,20541,1,,,candidate,53.579862999868055,0,
,,,,,,,97.70218899999999,,,,,1,,,,1,1,96.46123899994564,110136,,99.30036179177232,,77.34486319997812,,,,,,,1000,,,,autocomplete_1000_routines,9db49c230c7cab6abe497d14b9f51e39ad30cb42,50,completion,,18297,2,,,baseline,98.39056700002402,0,
,,,,,,,1792.9216479999998,,,,,2,,,,1,1,1797.3980509997273,114104,,99.56928703584782,,1527.93305959969,,,,,,,5000,,,,autocomplete_5000_routines,9db49c230c7cab6abe497d14b9f51e39ad30cb42,50,completion,,20541,2,,,baseline,1800.677399000051,0,
,,,,,,,21.257672000000007,,,,,1,,,,1,0,18.77466899997671,116224,,97.57886116964123,,16.059635849951512,,,,,,,1000,,,,autocomplete_1000_routines,0640c96464dcb50434f97b14d097418b51b110ba,50,completion,,18297,2,,,candidate,21.78511999954935,0,
,,,,,,,54.314408999999955,,,,,1,,,,1,1,54.0673449996757,122112,,98.33436270429495,,46.054649949764986,,,,,,,5000,,,,autocomplete_5000_routines,0640c96464dcb50434f97b14d097418b51b110ba,50,completion,,20541,2,,,candidate,55.23441399964213,0,
,,,,,,,88.82693499999999,,,,,2,,,,1,1,87.13355700012471,117400,,98.76908656400133,,74.15898270007344,,,,,,,1000,,,,autocomplete_1000_routines,9db49c230c7cab6abe497d14b9f51e39ad30cb42,50,completion,,23742,3,,,baseline,89.93394400022225,0,
,,,,,,,1831.017239,,,,,1,,,,1,1,1839.057934000375,120984,,99.44510539244105,,1563.3139259504053,,,,,,,5000,,,,autocomplete_5000_routines,9db49c230c7cab6abe497d14b9f51e39ad30cb42,50,completion,,18297,3,,,baseline,1841.234147999785,0,
,,,,,,,33.89264399999997,,,,,1,,,,1,0,31.200335000103223,116368,,98.67874546976104,,26.605466000019067,,,,,,,1000,,,,autocomplete_1000_routines,0640c96464dcb50434f97b14d097418b51b110ba,50,completion,,18297,3,,,candidate,34.3464480001785,0,
,,,,,,,33.76091399999998,,,,,1,,,,1,0,32.47997200025566,121872,,97.67885618238749,,27.70951285016962,,,,,,,5000,,,,autocomplete_5000_routines,0640c96464dcb50434f97b14d097418b51b110ba,50,completion,,20541,3,,,candidate,34.56317499967554,0,
,,,,,,,92.071941,,,,,1,,,,1,1,92.43380500003695,116088,,97.49147039095305,,78.6552593500073,,,,,,,1000,,,,autocomplete_1000_routines,9db49c230c7cab6abe497d14b9f51e39ad30cb42,50,completion,,18297,4,,,baseline,94.44102199995541,0,
,,,,,,,1877.8790869999998,,,,,1,,,,1,1,1908.885553,120184,,98.21249711341575,,1622.6434241499821,,,,,,,5000,,,,autocomplete_5000_routines,9db49c230c7cab6abe497d14b9f51e39ad30cb42,50,completion,,20541,4,,,baseline,1912.0571639996342,0,
,,,,,,,21.576221000000007,,,,,1,,,,1,0,18.558740000225953,116460,,99.73173105092991,,15.891197150149303,,,,,,,1000,,,,autocomplete_1000_routines,0640c96464dcb50434f97b14d097418b51b110ba,50,completion,,18297,4,,,candidate,21.634258999256417,0,
,,,,,,,33.81949299999998,,,,,1,,,,1,0,30.86240699951304,122348,,99.48894217537644,,26.323016249552882,,,,,,,5000,,,,autocomplete_5000_routines,0640c96464dcb50434f97b14d097418b51b110ba,50,completion,,20541,4,,,candidate,33.993218000432535,0,
,,,,,,,99.58225900000001,,,,,1,,,,1,1,96.43670500019653,116212,,99.05838772544449,,82.04323765014121,,,,,,,1000,,,,autocomplete_1000_routines,9db49c230c7cab6abe497d14b9f51e39ad30cb42,50,completion,,18297,5,,,baseline,100.52885100049025,0,
,,,,,,,1832.920511,,,,,1,,,,1,1,1842.0005990002392,120180,,99.33234034150807,,1565.849571650205,,,,,,,5000,,,,autocomplete_5000_routines,9db49c230c7cab6abe497d14b9f51e39ad30cb42,50,completion,,20541,5,,,baseline,1845.2404370000295,0,
,,,,,,,33.234174,,,,,1,,,,1,0,30.08607599997049,116180,,98.32599348769628,,24.098138999870567,,,,,,,1000,,,,autocomplete_1000_routines,0640c96464dcb50434f97b14d097418b51b110ba,50,completion,,18297,5,,,candidate,33.79998800028261,0,
